Accession	Gene_Family	Sp	mentioned_miRNA	Pollutant	Observed_Specie	Type	Observerd_effect	Reference	Reference_Rank_score
NA	NA	hsa-	let-7a	Mercury	Homo sapiens	in vivo (Placenta)	Downregulated in exposed mothers	Li, Q., Kappil, M. A., Li, A., Dassanayake, P. S., Darrah, T. H., Friedman, A. E., Friedman, M., Lambertini, L., Landrigan, P., Stodgell, C. J., Xia, Y., Nanes, J. A., Aagaard, K. M., Schadt, E. E., Murray, J. C., Clark, E. B., Dole, N., Culhane, J., Swanson, J., Varner, M., … Chen, J. (2015). Exploring the associations between microRNA expression profiles and environmental pollutants in human placenta from the National Children's Study (NCS). Epigenetics, 10(9), 793–802. https://doi.org/10.1080/15592294.2015.1066960	1,03
NA	NA	hsa-	let-7a	Benzo(a)pyrene	Homo sapiens	In vitro (MCF-7 and  MDA-MB-231 cells) mammary gland	downregulated after exposure, targeting invasiveness mechanisms.	Malik DE, David RM, Gooderham NJ. Mechanistic evidence that benzo[a]pyrene promotes an inflammatory microenvironment that drives the metastatic potential of human mammary cells. Arch Toxicol. 2018;92(10):3223-3239. doi:10.1007/s00204-018-2291-z	1
NA	NA	rno-	let-7a	Arsenite and Cadmium	Rattus norvegicus domestica (Wistar IGS)	in vivo (liver)	concentration dependent differential regulated after oral administration	Mumtaz F, Albeltagy RS, Diab MSM, Abdel Moneim AE, El-Habit OH. Exposure to arsenite and cadmium induces organotoxicity and miRNAs deregulation in male rats. Environmental Science and Pollution Research [Internet]. Springer Science and Business Media LLC; 2020 Mar 9;27(14):17184–93. Available from: http://dx.doi.org/10.1007/s11356-020-08306-1	1
MIMAT0000062	let-7	hsa-	let-7a-5p	Cadmium	Homo sapiens	in vitro (RPTEC) Primary Renal Proximal Tubule Epithelial	differential regulated after exposure	Lemaire J, Van der Hauwaert C, Savary G, Dewaeles E, Perrais M, Lo Guidice JM, et al. Cadmium-Induced Renal Cell Toxicity Is Associated With MicroRNA Deregulation. International Journal of Toxicology [Internet]. SAGE Publications; 2020 Jan 14;39(2):103–14. Available from: http://dx.doi.org/10.1177/1091581819899039	0
MIMAT0000062	let-7	hsa-	let-7a-5p	Mercury	Homo sapiens	in vivo (Cervical swabs in pregnancy)	differential regulation in exposed pregnant women	Sanders AP, Burris HH, Just AC, Motta V, Amarasiriwardena C, Svensson K, et al. Altered miRNA expression in the cervix during pregnancy associated with lead and mercury exposure. Epigenomics [Internet]. Future Medicine Ltd; 2015 Sep;7(6):885–96. Available from: http://dx.doi.org/10.2217/epi.15.54	1
MI0000063	let-7	hsa-	let-7b	Mercury	Homo sapiens	in vivo (Placenta)	Downregulated in exposed mothers	Li, Q., Kappil, M. A., Li, A., Dassanayake, P. S., Darrah, T. H., Friedman, A. E., Friedman, M., Lambertini, L., Landrigan, P., Stodgell, C. J., Xia, Y., Nanes, J. A., Aagaard, K. M., Schadt, E. E., Murray, J. C., Clark, E. B., Dole, N., Culhane, J., Swanson, J., Varner, M., … Chen, J. (2015). Exploring the associations between microRNA expression profiles and environmental pollutants in human placenta from the National Children's Study (NCS). Epigenetics, 10(9), 793–802. https://doi.org/10.1080/15592294.2015.1066960	1,03
MIMAT0000063	let-7	hsa-	let-7b-5p	Titanium	Homo sapiens	in vivo (plasma)	down-regulated in exposed workers	Chen W, Fu W, Deng Q, Li Y, Wang K, Bai Y, et al. Multiple metals exposure and chromosome damage: Exploring the mediation effects of microRNAs and their potentials in lung carcinogenesis. Environment International [Internet]. Elsevier BV; 2019 Jan;122:291–300. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.020	1
MIMAT0000063	let-7	hsa-	let-7b-5p	Antimony	Homo sapiens	in vivo (plasma)	differential expression associated to exposure in coke oven workers	Deng Q, Dai X, Feng W, Huang S, Yuan Y, Xiao Y, et al. Co-exposure to metals and polycyclic aromatic hydrocarbons, microRNA expression, and early health damage in coke oven workers. Environment International [Internet]. Elsevier BV; 2019 Jan;122:369–80. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.056	1
MIMAT0000063	let-7	hsa-	let-7b-5p	Lead	Homo sapiens	in vivo (plasma)	differential expression associated to exposure in coke oven workers	Deng Q, Dai X, Feng W, Huang S, Yuan Y, Xiao Y, et al. Co-exposure to metals and polycyclic aromatic hydrocarbons, microRNA expression, and early health damage in coke oven workers. Environment International [Internet]. Elsevier BV; 2019 Jan;122:369–80. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.056	1
MIMAT0000063	let-7	hsa-	let-7b-5p	Titanium	Homo sapiens	in vivo (plasma)	differential expression associated to exposure in coke oven workers	Deng Q, Dai X, Feng W, Huang S, Yuan Y, Xiao Y, et al. Co-exposure to metals and polycyclic aromatic hydrocarbons, microRNA expression, and early health damage in coke oven workers. Environment International [Internet]. Elsevier BV; 2019 Jan;122:369–80. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.056	1
MIMAT0000063	let-7	hsa-	let-7b-5p	Cadmium	Homo sapiens	in vitro (RPTEC) Primary Renal Proximal Tubule Epithelial	differential regulated after exposure	Lemaire J, Van der Hauwaert C, Savary G, Dewaeles E, Perrais M, Lo Guidice JM, et al. Cadmium-Induced Renal Cell Toxicity Is Associated With MicroRNA Deregulation. International Journal of Toxicology [Internet]. SAGE Publications; 2020 Jan 14;39(2):103–14. Available from: http://dx.doi.org/10.1177/1091581819899039	0
MIMAT0000775	let-7	rno-	let-7b-5p	2,5-hexanedione	Rattus norvegicus domestica (Sprague Dawley)	in vivo (spinal cord tissue)	upregulated in spinal chord tissue after 2,5-hexanedione exposure	Piao F, Chen Y, Yu L, Shi X, Liu X, Jiang L, et al. 2,5-hexanedione-induced deregulation of axon-related microRNA expression in rat nerve tissues. Toxicology Letters [Internet]. Elsevier BV; 2020 Mar;320:95–102. Available from: http://dx.doi.org/10.1016/j.toxlet.2019.11.0	1
MIMAT0000063	let-7	hsa-	let-7b-5p	Mercury	Homo sapiens	in vivo (Cervical swabs in pregnancy)	differential regulation in exposed pregnant women	Sanders AP, Burris HH, Just AC, Motta V, Amarasiriwardena C, Svensson K, et al. Altered miRNA expression in the cervix during pregnancy associated with lead and mercury exposure. Epigenomics [Internet]. Future Medicine Ltd; 2015 Sep;7(6):885–96. Available from: http://dx.doi.org/10.2217/epi.15.54	1
MIMAT0000522	let-7	mmu-	let-7b-5p	Ketones	Mus musculus	Developmental biology (brain)	up regulated in brain tissue from embryos of exposed mice	Wnuk A, Rzemieniec J, Staroń J, Litwa E, Lasoń W, Bojarski A, et al. Prenatal Exposure to Benzophenone-3 Impairs Autophagy, Disrupts RXRs/PPARγ Signaling, and Alters Epigenetic and Post-Translational Statuses in Brain Neurons. Molecular Neurobiology [Internet]. Springer Science and Business Media LLC; 2018 Nov 6;56(7):4820–37. Available from: http://dx.doi.org/10.1007/s12035-018-1401-5	1
MI0000064	let-7	hsa-	let-7c	Mercury	Homo sapiens	in vivo (Placenta)	Downregulated in exposed mothers	Li, Q., Kappil, M. A., Li, A., Dassanayake, P. S., Darrah, T. H., Friedman, A. E., Friedman, M., Lambertini, L., Landrigan, P., Stodgell, C. J., Xia, Y., Nanes, J. A., Aagaard, K. M., Schadt, E. E., Murray, J. C., Clark, E. B., Dole, N., Culhane, J., Swanson, J., Varner, M., … Chen, J. (2015). Exploring the associations between microRNA expression profiles and environmental pollutants in human placenta from the National Children's Study (NCS). Epigenetics, 10(9), 793–802. https://doi.org/10.1080/15592294.2015.1066960	1,03
